id,value
Security Forces,4
Security Supervisor,4
Self-Employed,4
Site Supervisor,4
Staff,4
Surgical Technologist,4
System Engineer,4
Systems Administrator,4
Team Lead,4
Tutor,4
Union Carpenter,4
Waitress,4
Accountant,5
Business Development,5
Care Giver,5
Conductor,5
Deputy Sheriff,5
District Manager,5
Electrical Engineer,5
Firefighter,5
Housekeeper,5
Independent Contractor,5
Information Technology,5
Insurance Agent,5
Management,5
Massage Therapist,5
Mechanical Engineer,5
Package Handler,5
Packer,5
Pharmacist,5
Production Worker,5
Program Director,5
Salesman,5
Senior Engineer,5
Senior Manager,5
Service Advisor,5
Shipping,5
Substitute Teacher,5
Teacher Assistant,5
Therapist,5
Uber Driver,5
Warehouse Worker,5
Web Developer,5
Worker,5
Admin Assistant,6
Agent,6
Assembler,6
Civil Engineer,6
Disability,6
Dispatcher,6
Executive Assistant,6
Field Technician,6
Hair Stylist,6
Home Health Aide,6
Installer,6
Labor,6
Letter Carrier,6
Line Cook,6
Mail Carrier,6
Maintenance Manager,6
Marketing Director,6
Marketing Manager,6
Millwright,6
Partner,6
President/Owner,6
Production,6
Sales Rep,6
Service Manager,6
Staff Accountant,6
Team Member,6
Attorney,7
Crew Member,7
Director Of Operations,7
Disabled Veteran,7
Estimator,7
Executive Director,7
Farmer,7
Financial Advisor,7
Forklift Operator,7
Housekeeping,7
Instructor,7
Material Handler,7
Merchandiser,7
Network Engineer,7
Personal Trainer,7
RN,7
Sales Consultant,7
Security Guard,7
Stocker,7
Warehouse,7
Automotive Technician,8
Bus Driver,8
Courier,8
Crane Operator,8
Customer Service Agent,8
Executive Chef,8
Flight Attendant,8
Foreman,8
General Contractor,8
Graphic Designer,8
Logistics,8
Physical Therapist,8
Program Manager,8
Real Estate Agent,8
Real Estate Broker,8
Restaurant Manager,8
Transportation,8
Warehouse Manager,8
Clerk,9
Finance Manager,9
Laborer,9
NULL,9
Quality Inspector,9
Ramp Agent,9
System Administrator,9
Warehouse Associate,9
Account Manager,10
Assistant Manager,10
CSR,10
Field Service Engineer,10
IT Specialist,10
Maintenance Supervisor,10
Military,10
Software Engineer,10
Systems Engineer,10
Contractor,11
Equipment Operator,11
Maintenance Mechanic,11
Medical Assistant,11
Superintendent,11
Maintenance Technician,12
Office Manager,12
Professional Driver,12
Property Manager,12
Director,13
English Teacher,13
Painter,13
Pharmacy Technician,13
Plumber,13
Security,13
Welder,13
Bartender,14
Business Owner,14
LPN,14
None,14
Realtor,14
Sales Representative,14
Self Employed,14
Soldier,14
Aircraft Mechanic,15
Custodian,15
Customer Service Rep,15
Operator,15
Pilot,15
Police Officer,15
Respiratory Therapist,15
Software Developer,15
Owner Operator,16
Physician,16
Vice President,16
Chef,17
Caregiver,19
Customer Service,19
Store Manager,19
Carpenter,20
Maintenance,20
Operations Manager,20
Owner/Operator,20
Machinist,21
Server,21
Nurse,22
CNA,23
Consultant,23
Delivery Driver,23
Machine Operator,23
Correctional Officer,24
Sales Associate,24
Sales Manager,24
Disabled,25
Cook,26
CEO,30
Technician,30
Engineer,34
Security Officer,34
General Manager,35
Mechanic,35
Cashier,36
Electrician,36
Project Manager,42
Sales,48
Supervisor,48
President,49
N/A,55
Cna,67
Registered Nurse,67
Manager,75
Teacher,78
Student,83
Unemployed,111
Driver,121
Owner,159
Truck Driver,173
Retired,254
